ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
radec_218.1793849_5.369815,218.1793849,5.369815,0.946896,0,3
radec_318.3907667_-46.402412,318.3907667,-46.402412,0.946885,0,3
radec_214.6255908_14.852376,214.6255908,14.852376,0.946802,0,3
radec_71.34841329_-64.231044,71.34841329,-64.231044,0.946783,0,3
radec_110.9707284_24.586297,110.9707284,24.586297,0.94675,0,3
radec_334.2949979_-64.063639,334.2949979,-64.063639,0.946675,0,3
radec_264.8854928_27.282505,264.8854928,27.282505,0.946627,1,2
radec_311.5945627_-48.340477,311.5945627,-48.340477,0.946568,0,3
radec_231.218645_5.14096,231.218645,5.14096,0.94656,0,3
radec_86.90565845_-22.298489,86.90565845,-22.298489,0.946542,0,3
radec_41.98607084_-10.493947,41.98607084,-10.493947,0.946517,0,3
radec_190.2194786_-2.037828,190.2194786,-2.037828,0.946405,0,3
radec_68.60628417_-3.805113,68.60628417,-3.805113,0.946402,0,3
radec_138.4951955_39.476389,138.4951955,39.476389,0.946357,0,3
radec_345.5616615_-41.953954,345.5616615,-41.953954,0.946357,0,3
radec_308.4032363_-46.729617,308.4032363,-46.729617,0.946356,0,3
radec_247.381698_25.000916,247.381698,25.000916,0.946256,0,3
radec_162.0774412_1.812174,162.0774412,1.812174,0.946221,0,3
radec_72.1226619_-64.057842,72.1226619,-64.057842,0.946198,0,3
radec_8.29664801_-47.454209,8.29664801,-47.454209,0.946111,0,3
radec_55.5550978_-24.295943,55.5550978,-24.295943,0.946006,0,3
radec_324.3927094_-41.265097,324.3927094,-41.265097,0.945922,0,3
radec_158.9056986_27.108604,158.9056986,27.108604,0.945857,0,3
radec_343.7274647_12.716974,343.7274647,12.716974,0.94585,1,2
radec_124.6828193_10.204075,124.6828193,10.204075,0.945798,0,3
radec_268.2677008_31.923523,268.2677008,31.923523,0.945706,0,3
radec_247.3715295_13.038053,247.3715295,13.038053,0.945528,0,3
radec_43.11964421_-41.206463,43.11964421,-41.206463,0.945414,0,3
radec_248.2814826_17.212893,248.2814826,17.212893,0.945293,0,3
radec_27.99691326_5.529019,27.99691326,5.529019,0.945258,0,3
radec_3.5370465_-58.100249,3.5370465,-58.100249,0.945235,0,3
radec_344.9153578_-10.447259,344.9153578,-10.447259,0.945151,0,3
radec_187.1433846_21.927449,187.1433846,21.927449,0.944976,0,3
radec_312.7253678_-46.250577,312.7253678,-46.250577,0.944885,0,3
radec_282.9192102_46.141879,282.9192102,46.141879,0.944857,0,3
radec_193.2245291_-2.042127,193.2245291,-2.042127,0.944756,0,3
radec_121.9920674_55.627315,121.9920674,55.627315,0.944691,0,3
radec_253.9258707_6.86643,253.9258707,6.86643,0.944647,0,3
radec_161.1304823_15.404762,161.1304823,15.404762,0.944571,0,3
radec_330.8529048_26.643276,330.8529048,26.643276,0.94446,0,3
radec_265.3649086_18.169146,265.3649086,18.169146,0.944448,0,3
radec_46.49090025_4.131522,46.49090025,4.131522,0.944394,0,3
radec_251.9989082_49.920236,251.9989082,49.920236,0.94436,0,3
radec_309.2158642_-41.883054,309.2158642,-41.883054,0.944315,0,3
radec_34.50005049_-24.125229,34.50005049,-24.125229,0.944261,0,3
radec_358.7038606_31.5333,358.7038606,31.5333,0.944146,0,3
radec_182.8223282_40.369116,182.8223282,40.369116,0.944118,0,3
radec_127.5053177_23.522989,127.5053177,23.522989,0.944106,0,3
radec_222.9049582_31.48627,222.9049582,31.48627,0.944069,1,2
radec_73.58736029_-64.569577,73.58736029,-64.569577,0.944019,0,3
radec_332.516557_-62.505897,332.516557,-62.505897,0.944002,0,3
