ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
rd_15.82537439_21.4139296,15.82537439,21.4139296,0.945297,0,
rd_51.62062509_-12.83026417,51.62062509,-12.83026417,0.945297,0,
rd_247.7671555_39.68466633,247.7671555,39.68466633,0.945296,0,
rd_27.99691326_5.52901939,27.99691326,5.52901939,0.945258,0,
rd_136.0091184_48.44529626,136.0091184,48.44529626,0.945242,0,
rd_19.53467947_-25.49024492,19.53467947,-25.49024492,0.945239,0,
rd_200.8654562_25.43869886,200.8654562,25.43869886,0.94523,0,
rd_36.55932754_32.12455548,36.55932754,32.12455548,0.945073,0,
rd_154.9463563_11.68646302,154.9463563,11.68646302,0.944911,0,
rd_156.2922542_9.49065934,156.2922542,9.49065934,0.944898,0,
rd_246.5900706_18.2290269,246.5900706,18.2290269,0.944842,1,A
rd_314.1651235_7.54325101,314.1651235,7.54325101,0.944806,1,sdB
rd_140.0172387_20.6899637,140.0172387,20.6899637,0.944798,0,
rd_186.5102957_35.47656988,186.5102957,35.47656988,0.944794,1,A
rd_121.9920674_55.62731498,121.9920674,55.62731498,0.944691,0,
rd_322.5148242_12.02168519,322.5148242,12.02168519,0.94469,1,B
rd_9.17315291_-54.11206838,9.17315291,-54.11206838,0.944676,0,
rd_295.3342064_59.36192523,295.3342064,59.36192523,0.944668,0,
rd_248.0989063_2.57270197,248.0989063,2.57270197,0.944641,0,
rd_359.3805865_12.95607905,359.3805865,12.95607905,0.944615,0,
rd_246.0423701_2.45863811,246.0423701,2.45863811,0.944588,1,sdB
rd_161.1304823_15.40476236,161.1304823,15.40476236,0.944571,0,
rd_334.2026088_1.69977741,334.2026088,1.69977741,0.944544,0,
rd_286.5035615_62.65662367,286.5035615,62.65662367,0.944519,1,A
rd_23.70584992_-48.97075899,23.70584992,-48.97075899,0.94449,0,
rd_330.8529048_26.64327617,330.8529048,26.64327617,0.94446,0,
rd_34.50005049_-24.1252285,34.50005049,-24.1252285,0.944433,0,
rd_46.49090025_4.13152217,46.49090025,4.13152217,0.944394,0,
rd_62.386033_-67.74745686,62.386033,-67.74745686,0.944376,0,
rd_251.9989082_49.92023593,251.9989082,49.92023593,0.94436,0,
rd_355.3038931_-0.0495847,355.3038931,-0.0495847,0.944265,1,sdB
rd_206.6143414_57.54604786,206.6143414,57.54604786,0.94425,0,
rd_343.2137501_-12.38103403,343.2137501,-12.38103403,0.94424,0,
rd_311.3207174_-51.71653037,311.3207174,-51.71653037,0.944189,0,
rd_358.7038606_31.53329999,358.7038606,31.53329999,0.944146,0,
rd_221.4537198_68.1513883,221.4537198,68.1513883,0.944091,0,
rd_165.4081905_21.30293907,165.4081905,21.30293907,0.944076,0,
rd_233.4183646_56.03975056,233.4183646,56.03975056,0.944074,0,
rd_222.9049582_31.48627044,222.9049582,31.48627044,0.944069,1,B
rd_77.49325764_-62.64444205,77.49325764,-62.64444205,0.944047,0,
rd_26.98627229_-10.97442939,26.98627229,-10.97442939,0.944022,0,
rd_156.896219_-29.1027634,156.896219,-29.1027634,0.94402,0,
rd_22.85029315_19.64501933,22.85029315,19.64501933,0.94402,0,
rd_154.0433283_22.84385499,154.0433283,22.84385499,0.944012,0,
rd_150.3433682_21.54636061,150.3433682,21.54636061,0.943992,0,
rd_330.5272793_18.56604273,330.5272793,18.56604273,0.94396,0,
rd_22.31679846_-15.86735798,22.31679846,-15.86735798,0.943949,1,A
rd_274.7072081_58.34704648,274.7072081,58.34704648,0.943868,0,
rd_193.5195371_-6.34007211,193.5195371,-6.34007211,0.943809,1,F
rd_26.1642424_31.94926716,26.1642424,31.94926716,0.943792,0,
rd_36.71977569_31.65932937,36.71977569,31.65932937,0.943764,0,
rd_30.62236227_-33.79199849,30.62236227,-33.79199849,0.943736,0,
rd_167.1832139_61.09348739,167.1832139,61.09348739,0.943716,0,
rd_229.4042167_29.12542532,229.4042167,29.12542532,0.943713,0,
rd_14.77480616_-34.26404252,14.77480616,-34.26404252,0.943688,0,
rd_139.3673818_20.57783054,139.3673818,20.57783054,0.943672,0,
rd_19.48538503_-36.1964572,19.48538503,-36.1964572,0.943662,0,
rd_204.570087_19.46698163,204.570087,19.46698163,0.943639,0,
rd_32.32968621_-24.10832834,32.32968621,-24.10832834,0.943621,0,
rd_42.33552845_-33.30496501,42.33552845,-33.30496501,0.943599,0,
rd_329.1949757_-61.61345573,329.1949757,-61.61345573,0.943597,0,
rd_110.1579193_58.74379697,110.1579193,58.74379697,0.943595,0,
rd_270.3563375_14.9072897,270.3563375,14.9072897,0.943557,0,
rd_325.3610384_22.19027243,325.3610384,22.19027243,0.943525,0,
rd_353.4804033_26.12451647,353.4804033,26.12451647,0.943457,0,
rd_10.39091139_-59.72548805,10.39091139,-59.72548805,0.943446,0,
rd_270.0836576_28.80668721,270.0836576,28.80668721,0.943446,0,
rd_331.3545908_10.07189211,331.3545908,10.07189211,0.943424,0,
rd_27.06061968_25.06374935,27.06061968,25.06374935,0.94339,0,
rd_105.8870974_59.90287369,105.8870974,59.90287369,0.943367,0,
rd_308.836646_-3.12076758,308.836646,-3.12076758,0.943332,0,
rd_317.8353657_-1.04855937,317.8353657,-1.04855937,0.943279,1,F
